HSH,"Las Vegas (Henderson Sky Harbor)","USA"
LAS,"Las Vegas (McCarran Internat.)","USA"
LVS,"Las Vegas Municipal Airport","USA"
QLS,"Lausanne (La Blecherette)","Suisse"
CAI,"Le Caire International Airport","Egypte"
LEH,"Le Havre (Octeville)","France"
LPY,"Le Puy","France"
LBA,"Leeds/Bradford","Angleterre"
IXL,"Leh","Inde"
LEJ,"Leipzig (Schkeuditz)","Allemagne"
LSI,"Lerwick","Shetland"
LSS,"Les Saintes","Guadeloupe"
LXA,"Lhasa","Tibet"
LBV,"Libreville (Leon M'Ba)","Gabon"
LGG,"Liege (Bierset)","Belgique"
LIL,"Lille (Lesquin)","France"
LLW,"Lilongwe (Kamuzu Internat.)","Malawi"
LIM,"Lima (J. Chavez Internacional)","Pérou"
QLI,"Limassol","Chypre"
LIG,"Limoges (Bellegarde)","France"
LIS,"Lisbone (Portela de Sacavem)","Portugal"
LPL,"Liverpool (Speke Airport)","Angleterre"
LJU,"Ljubljana (Brnik)","Slovénie"
LOH,"Loja","Equateur"
LFW,"Lome (Tokoin)","Togo"
LCY,"Londres (City Airport)","Angleterre"
LGW,"Londres (Gatwick)","Angleterre"
LHR,"Londres (Heathrow)","Angleterre"
LON,"Londres (Metropolitan Area)","Angleterre"
STN,"Londres (Stansted)","Angleterre"
LRT,"Lorient (Lann Bihouet)","France"
QLA,"Los Angeles (Metropolitan Area)","USA"
VNY,"Los Angeles (Van Nuys Airport)","USA"
WHP,"Los Angeles (Whiteman Airport)","USA"
LAX,"Los Angeles Internat. Airport","USA"
SJD,"Los Cabos (S. J. del Cabo)","Mexique"
LDE,"Lourdes/Tarbes (Ossun)","France"
LAD,"Luanda (4 de Fevereiro)","Angola"
LPQ,"Luang Prabang","Laos"
QLJ,"Lucerne","Suisse"
LUD,"Lüderitz","Namibie"
LUG,"Lugano (Agno)","Suisse"
LUN,"Lusaka Internat. Airport","Zambie"
LTN,"Luton Airport","Angleterre"
LUX,"Luxembourg (Findel)","Luxembourg"
LXR,"Luxor","Égypte"
CRK,"Luzon (Clark Field)","Philippines"
LYN,"Lyon (Bron)","France"
LYS,"Lyon (St Exupery)","France"
MST,"Maastricht (Zuid Limburg)","Pays Bas"
MCP,"Macapa","Brésil"
MAA,"Madras (Meenambakkam)","Inde"
MAD,"Madrid (Barajas)","Espagne"
SEZ,"Mahé (Seychelles Int'l)","Seychelles"
MAH,"Mahon (Menorca)","Baleéares"
MMO,"Maio","Cape Verde"
MJN,"Majunga (Amborovy)","Madagascar"
SSG,"Malabo","Guinée Equatoriale"
MKZ,"Malacca (Batu Berenclum)","Malaisie"
AGP,"Malaga","Espagne"
MLE,"Male (Hulule)","Maldives"
MYD,"Malindi","Kenya"
